feature,importance
property_type_Entire home/apt,0.23294807549359625
city_Bengaluru,0.1768955342001168
city_Mumbai,0.1707111654452095
cleaning_fee,0.12228259329299708
city_Austin,0.04671290443777651
reviews_count,0.03176344438650329
amenity_count,0.023127305849407292
review_score,0.01999858570902989
accommodates,0.017523696011786726
property_type_Hotel room,0.017469913410074978
neighbourhood_Manhattan,0.014069478792713938
city_Dubai,0.012612046268523257
city_San Francisco,0.012308559059931338
bedrooms,0.006602130346250671
beds,0.0060486423428566145
month_7,0.005925334976293465
month_6,0.0043720745173683635
month_8,0.004330399291457697
city_Sydney,0.004001379856869705
month_1,0.003935292825781776
city_Paris,0.0036933078103511176
month_2,0.003589980880313446
month_11,0.0031461095977008365
neighbourhood_Westminster,0.003084216477119979
neighbourhood_Sunset,0.0027182716769258925
neighbourhood_Staten Island,0.002671498622592811
neighbourhood_Deira,0.002522608319135949
neighbourhood_1st Arr.,0.0024041661956768208
superhost,0.0023090600398002633
month_12,0.0020767569029179395
month_3,0.0020746151051466376
neighbourhood_Nob Hill,0.001818754382319117
month_5,0.0017210115300198177
neighbourhood_Kensington,0.0015399567645970687
city_New York,0.0015228338839912636
city_London,0.0015170902628053734
neighbourhood_Downtown,0.0014759750386994749
neighbourhood_Le Marais,0.0014590900434119911
city_Tokyo,0.0013888077155674796
neighbourhood_Marina,0.001314495550963649
month_9,0.0012961539587681393
neighbourhood_Bur Dubai,0.0012874632635774582
month_10,0.0012081253445726389
month_4,0.0012002081788434755
neighbourhood_Shibuya,0.0011863753965493699
property_type_Shared room,0.00107880394713921
bathrooms,0.0010270081710832839
neighbourhood_Hackney,0.0010169806834843457
neighbourhood_Ginza,0.0008566684400273958
neighbourhood_Asakusa,0.0008181122097267791
property_type_Private room,0.0007990309595313497
neighbourhood_Bronx,0.000610373002803147
neighbourhood_Roppongi,0.0005995264057822398
neighbourhood_Greenwich,0.0005780965537853973
neighbourhood_SoMa,0.0005603823369423848
neighbourhood_Brooklyn,0.0005585409988632941
neighbourhood_Colaba,0.0005360186326822965
neighbourhood_Newtown,0.00045266161951726484
neighbourhood_Hyde Park,0.00039148375855665367
neighbourhood_Bastille,0.0003786793829677292
neighbourhood_Camden,0.00036763067584309853
neighbourhood_Mission,0.00036703206177913193
neighbourhood_East Austin,0.0003557796880740533
neighbourhood_Whitefield,0.0003533715460971513
neighbourhood_Shinjuku,0.0003464892182865922
neighbourhood_Queens,0.0003454318723348997
neighbourhood_Zilker,0.00032587687502978724
neighbourhood_Montmartre,0.0003172146227729221
neighbourhood_Latin Quarter,0.0003063847996729283
neighbourhood_Jumeirah,0.00027519668300424643
neighbourhood_Bandra,0.00026976205721332533
neighbourhood_Manly,0.00025451027715508583
neighbourhood_Dadar,0.0002522064730979224
neighbourhood_Bondi,0.0002502862557904815
neighbourhood_CBD,0.00022449474973264356
neighbourhood_Surry Hills,0.0002202538337010699
neighbourhood_Andheri,0.00021806546554422137
neighbourhood_South Congress,0.00020574888884482983
neighbourhood_Indiranagar,0.00016879523914623625
neighbourhood_HSR Layout,0.00012599168634054507
neighbourhood_Powai,0.00012158858666301393
neighbourhood_MG Road,0.00011847735408419248
neighbourhood_Koramangala,8.155452998563559e-05
